,v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,Text_clean,sentiment
68,spam,Did you hear about the new \Divorce Barbie\   It comes with all of Ken s stuff  ,,,,hear new \divorce barbie\ comes ken stuff,positive
69,ham,I plane to give on this month end ,,,,plane give month end,positive
70,ham,Wah lucky man  Then can save money  Hee ,,,,wah lucky man save money hee,positive
71,ham,Finished class where are you ,,,,finished class,positive
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING  XX,,,,hi babe im home wanna something xx,positive
73,ham,K k  where are you how did you performed ,,,,k k performed,positive
74,ham,U can call me now ,,,,u call,positive
75,ham,I am waiting machan  Call me once you free ,,,,waiting machan call free,positive
76,ham,Thats cool  i am a gentleman and will treat you with dignity and respect ,,,,thats cool gentleman treat dignity respect,positive
77,ham,I like you peoples very much   but am very shy pa ,,,,like peoples much shy pa,positive
78,ham,Does not operate after   lt  gt   or what,,,,operate lt gt,positive
79,ham,Its not the same here  Still looking for a job  How much do Ta s earn there ,,,,still looking job much ta earn,positive
80,ham,Sorry  I ll call later,,,,sorry call later,negative
81,ham,K  Did you call me just now ah  ,,,,k call ah,positive
82,ham,Ok i am on the way to home hi hi,,,,ok way home hi hi,positive
83,ham,You will be in the place of that man,,,,place man,positive
84,ham,Yup next stop ,,,,yup next stop,negative
85,ham,I call you later  don t have network  If urgnt  sms me ,,,,call later network urgnt sms,positive
86,ham,For real when u getting on yo  I only need  more tickets and one more jacket and I m done  I already used all my multis ,,,,real u getting yo need tickets one jacket done already used multis,positive
87,ham,Yes I started to send requests to make it but pain came back so I m back in bed  Double coins at the factory too  I gotta cash in all my nitros ,,,,yes started send requests make pain came back back bed double coins factory gotta cash nitros,negative
88,ham,I m really not up to it still tonight babe,,,,really still tonight babe,positive
89,ham,Ela kano il download  come wen ur free ,,,,ela kano il download come wen ur free,positive
90,ham,Yeah do  DonÛ÷t stand to close tho  youÛ÷ll catch something ,,,,yeah donû÷t stand close tho youû÷ll catch something,positive
91,ham,Sorry to be a pain  Is it ok if we meet another night  I spent late afternoon in casualty and that means i haven t done any of y stuffmoro and that includes all my time sheets and that  Sorry  ,,,,sorry pain ok meet another night spent late afternoon casualty means done stuffmoro includes time sheets sorry,negative
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum Hurts U Smile becoz SOMEONE still Loves to see u Smiling ,,,,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,positive
93,spam,Please call our customer service representative on    between am pm as you have WON a guaranteed å£ cash or å£ prize ,,,,please call customer service representative pm guaranteed å£ cash å£ prize,positive
94,ham,Havent planning to buy later  I check already lido only got  show in e afternoon  U finish work already ,,,,havent planning buy later check already lido got show e afternoon u finish work already,positive
95,spam,Your free ringtone is waiting to be collected  Simply text the password \MIX\  to  to verify  Get Usher and Britney  FML, PO Box 5249," MK17 92H. 450Ppw 16""",,free ringtone waiting collected simply text password \mix\ verify get usher britney fml,positive
96,ham,Watching telugu movie wat abt u ,,,,watching telugu movie wat abt u,positive
97,ham,i see  When we finish we have loads of loans to pay,,,,see finish loads loans pay,negative
98,ham,"Hi  Wk been ok   on hols now  Yes on for a bit of a run  Forgot that i have hairdressers appointment at four so need to get home n shower beforehand  Does that cause prob for u \ ham ",,,,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u \ ham,positive
99,ham,Please don t text me anymore  I have nothing else to say ,,,,please text anymore nothing else say,positive
100,ham,Okay name ur price as long as its legal  Wen can I pick them up  Y u ave x ams xx,,,,okay name ur price long legal wen pick u ave x ams xx,positive
101,ham,I m still looking for a car to buy  And have not gone the driving test yet ,,,,still looking car buy gone driving test yet,positive
102,ham,As per your request  Melle Melle  Oru Minnaminunginte Nurungu Vettam  has been set as your callertune for all Callers  Press * to copy your friends Callertune,,,,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press * copy friends callertune,positive
103,ham,wow  You re right  I didn t mean to do that  I guess once i gave up on boston men and changed my search location to nyc  something changed  Cuz on my signin page it still says boston ,,,,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,positive
104,ham,Umma my life and vava umma love you lot dear,,,,umma life vava umma love lot dear,positive
105,ham,Thanks a lot for your wishes on my birthday  Thanks you for making my birthday truly memorable ,,,,thanks lot wishes birthday thanks making birthday truly memorable,positive
106,ham,Aight  I ll hit you up when I get some cash,,,,aight hit get cash,positive
107,ham,How would my ip address test that considering my computer isn t a minecraft server,,,,would ip address test considering computer minecraft server,positive
108,ham,I know  Grumpy old people  My mom was like you better not be lying  Then again I am always the one to play jokes ,,,,know grumpy old people mom like better lying always one play jokes,positive
109,ham,Dont worry  I guess he s busy ,,,,dont worry guess busy,positive
110,ham,What is the plural of the noun research ,,,,plural noun research,positive
111,ham,Going for dinner msg you after ,,,,going dinner msg,positive
112,ham,I m ok wif it cos i like  try new things  But i scared u dun like mah  Cos u said not too loud ,,,,ok wif cos like try new things scared u dun like mah cos u said loud,positive
113,spam,GENT  We are trying to contact you  Last weekends draw shows that you won a å£ prize GUARANTEED  Call   Claim Code K  Valid hrs only  ppm,,,,gent trying contact last weekends draw shows å£ prize guaranteed call claim code k valid hrs ppm,positive
114,ham,Wa  ur openin sentence very formal  Anyway  i m fine too  juz tt i m eatin too much n puttin on weight Haha  So anythin special happened ,,,,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,positive
115,ham,As I entered my cabin my PA said    Happy B day Boss     I felt special  She askd me  lunch  After lunch she invited me to her apartment  We went there ,,,,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,positive
116,spam,You are a winner U have been specially selected  receive å£ or a * holiday  flights inc  speak to a live operator  claim p min    ,,,,winner u specially selected receive å£ * holiday flights inc speak live operator claim p min,positive
117,ham,Goodo  Yes we must speak friday   egg potato ratio for tortilla needed  ,,,,goodo yes must speak friday egg potato ratio tortilla needed,positive
118,ham,Hmm my uncle just informed me that he s paying the school directly  So pls buy food ,,,,hmm uncle informed paying school directly pls buy food,positive
119,spam,PRIVATE  Your  Account Statement for  shows  unredeemed Bonus Points  To claim call  Identifier Code   Expires,,,,private account statement shows unredeemed bonus points claim call identifier code expires,positive
120,spam,URGENT  Your Mobile No  was awarded å£ Bonus Caller Prize on    This is our final try to contact U  Call from Landline  BOXWRC  PPM,,,,urgent mobile awarded å£ bonus caller prize final try contact u call landline boxwrc ppm,positive
121,ham,here is my new address  apples pairs all that malarky,,,,new address apples pairs malarky,positive
122,spam,Todays Voda numbers ending  are selected to receive a   award  If you have a match please call  quoting claim code  standard rates app,,,,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,positive
123,ham,I am going to sao mu today  Will be done only at  ,,,,going sao mu today done,positive
124,ham,ÌÏ predict wat time Ì_ ll finish buying ,,,,ìï predict wat time ì_ finish buying,positive
125,ham,Good stuff  will do ,,,,good stuff,positive
126,ham,Just so that you know yetunde hasn t sent money yet  I just sent her a text not to bother sending  So its over  you dont have to involve yourself in anything  I shouldn t have imposed anything on you in the first place so for that  i apologise ,,,,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,positive
127,ham,Are you there in room ,,,,room,positive
128,ham,HEY GIRL  HOW R U  HOPE U R WELL ME AN DEL R BAK  AGAIN LONG TIME NO C  GIVE ME A CALL SUM TIME FROM LUCYxx,,,,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,positive
129,ham,K k  how much does it cost ,,,,k k much cost,positive
130,ham,I m home ,,,,home,positive
131,ham,Dear  will call Tmorrow pls accomodate ,,,,dear call tmorrow pls accomodate,positive
132,ham,First answer my question ,,,,first answer question,positive
133,spam,Sunshine Quiz Wkly Q  Win a top Sony DVD player if u know which country the Algarve is in  Txt ansr to   å£  SP Tyrone,,,,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr å£ sp tyrone,positive
134,spam,Want  get laid tonight  Want real Dogging locations sent direct  ur mob  Join the UK s largest Dogging Network bt Txting GRAVEL to   Nt  eca  p msg p,,,,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt eca p msg p,positive
135,ham,I only haf msn  It s yijue hotmail com,,,,haf msn yijue hotmail com,positive
136,ham,He is there  You call and meet him,,,,call meet,positive
137,ham,No no  I will check all rooms befor activities,,,,check rooms befor activities,positive
138,spam,You ll not rcv any more msgs from the chat svc  For FREE Hardcore services text GO to   If u get nothing u must Age Verify with yr network   try again,,,,rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,positive
139,ham,Got c  I lazy to type  I forgot Ì_ in lect  I saw a pouch but like not v nice ,,,,got c lazy type forgot ì_ lect saw pouch like v nice,positive
140,ham,K  text me when you re on the way,,,,k text way,positive
141,ham,Sir  Waiting for your mail ,,,,sir waiting mail,positive
142,ham,A swt thought  \Nver get tired of doing little things  lovable persons \  Coz somtimes those little things occupy d biggest part in their Hearts  Gud ni ,,,,swt thought \nver get tired little things lovable persons \ coz somtimes little things occupy biggest part hearts gud ni,positive
143,ham,I know you are  Can you pls open the back ,,,,know pls open back,positive
144,ham,Yes see ya not on the dot,,,,yes see ya dot,positive
145,ham,Whats the staff name who is taking class for us ,,,,whats staff name taking class us,positive
146,spam,FreeMsg Why haven t you replied to my text  I m Randy  sexy  female and live local  Luv to hear from u  Netcollex Ltd p per msg reply Stop to end,,,,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,positive
147,ham,Ummma will call after check in our life will begin from qatar so pls pray very hard ,,,,ummma call check life begin qatar pls pray hard,positive
148,ham,K i deleted my contact that why ,,,,k deleted contact,positive
149,ham,Sindu got job in birla soft  ,,,,sindu got job birla soft,positive
150,ham,The wine is flowing and i m i have nevering ,,,,wine flowing nevering,positive
151,ham,Yup i thk cine is better cos no need  go down  plaza mah ,,,,yup thk cine better cos need go plaza mah,positive
152,ham,Ok  Ur typical reply ,,,,ok ur typical reply,positive
153,ham,As per your request  Melle Melle  Oru Minnaminunginte Nurungu Vettam  has been set as your callertune for all Callers  Press * to copy your friends Callertune,,,,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press * copy friends callertune,positive
154,ham,You are everywhere dirt  on the floor  the windows  even on my shirt  And sometimes when i open my mouth  you are all that comes flowing out  I dream of my world without you  then half my chores are out too  A time of joy for me  lots of tv shows i ll see  But i guess like all things you just must exist  like rain  hail and mist  and when my time here is done  you and i become one ,,,,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one,positive
155,ham,Aaooooright are you at work ,,,,aaooooright work,positive
156,ham,I m leaving my house now ,,,,leaving house,positive
157,ham,Hello  my love  What are you doing  Did you get to that interview today  Are you you happy  Are you being a good boy  Do you think of me Are you missing me  ,,,,hello love get interview today happy good boy think missing,positive
158,spam,Customer service annoncement  You have a New Years delivery waiting for you  Please call  now to arrange delivery,,,,customer service annoncement new years delivery waiting please call arrange delivery,positive
159,spam,You are a winner U have been specially selected  receive å£ cash or a * holiday  flights inc  speak to a live operator  claim ,,,,winner u specially selected receive å£ cash * holiday flights inc speak live operator claim,positive
160,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see s you in real life,,,,keep safe need miss already envy everyone see real life,positive
161,ham,New car and house for my parents  i have only new job in hand  ,,,,new car house parents new job hand,positive
162,ham,I m so in love with you  I m excited each day i spend with you  You make me so happy ,,,,love excited day spend make happy,positive
163,spam, PLS STOP bootydelious   F  is inviting you to be her friend  Reply YES  or NO  See her  www SMS ac u bootydelious STOP  Send STOP FRND to ,,,,pls stop bootydelious f inviting friend reply yes see www sms ac u bootydelious stop send stop frnd,positive
164,spam,BangBabes Ur order is on the way  U SHOULD receive a Service Msg  download UR content  If U do not  GoTo wap  bangb  tv on UR mobile internet service menu,,,,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu,positive
165,ham,I place all ur points on e cultures module already ,,,,place ur points e cultures module already,positive
166,spam,URGENT  We are trying to contact you  Last weekends draw shows that you have won a å£ prize GUARANTEED  Call   Claim code S  Valid hrs only,,,,urgent trying contact last weekends draw shows å£ prize guaranteed call claim code valid hrs,positive
167,ham,Hi frnd  which is best way to avoid missunderstding wit our beloved one s ,,,,hi frnd best way avoid missunderstding wit beloved one,positive
168,ham,Great escape  I fancy the bridge but needs her lager  See you tomo ,,,,great escape fancy bridge needs lager see tomo,positive
169,ham,Yes   it completely in out of form  clark also utter waste ,,,,yes completely form clark also utter waste,negative
170,ham,Sir  I need AXIS BANK account no and bank address ,,,,sir need axis bank account bank address,positive
171,ham,Hmmm  Thk sure got time to hop ard  Ya  can go  free abt  Muz call u to discuss liao  ,,,,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,positive
172,ham,What time you coming down later  ,,,,time coming later,positive
173,ham,Bloody hell  cant believe you forgot my surname Mr   Ill give u a clue  its spanish and begins with m  ,,,,bloody hell cant believe forgot surname mr ill give u clue spanish begins,negative
174,ham,Well  i m gonna finish my bath now  Have a good fine night ,,,,well gonna finish bath good fine night,positive
175,ham,Let me know when you ve got the money so carlos can make the call,,,,let know got money carlos make call,positive
176,ham,U still going to the mall ,,,,u still going mall,positive
177,ham,Turns out my friends are staying for the whole show and won t be back til ~  lt  gt    so feel free to go ahead and smoke that    lt  gt   worth,,,,turns friends staying whole show back til ~ lt gt feel free go ahead smoke lt gt worth,positive
178,ham,Text her  If she doesnt reply let me know so i can have her log in,,,,text doesnt reply let know log,positive
179,ham,Hi  You just spoke to MANEESHA V  We d like to know if you were satisfied with the experience  Reply Toll Free with Yes or No ,,,,hi spoke maneesha v like know satisfied experience reply toll free yes,positive
180,ham,You lifted my hopes with the offer of money  I am in need  Especially when the end of the month approaches and it hurts my studying  Anyways have a gr weekend,,,,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,negative
181,ham,Lol no  U can trust me ,,,,lol u trust,positive
182,ham,ok  I am a gentleman and will treat you with dignity and respect ,,,,ok gentleman treat dignity respect,positive
183,ham,He will  you guys close ,,,,guys close,positive
184,ham,Going on nothing great bye,,,,going nothing great bye,negative
185,ham,Hello handsome   Are you finding that job   Not being lazy   Working towards getting back that net for mummy   Where s my boytoy now   Does he miss me  ,,,,hello handsome finding job lazy working towards getting back net mummy boytoy miss,positive
186,ham,Haha awesome  be there in a minute,,,,haha awesome minute,positive
187,spam,Please call our customer service representative on FREEPHONE    between am pm as you have WON a guaranteed å£ cash or å£ prize ,,,,please call customer service representative freephone pm guaranteed å£ cash å£ prize,positive
188,ham,Have you got Xmas radio times  If not i will get it now,,,,got xmas radio times get,positive
189,ham,I jus reached home  I go bathe first  But my sis using net tell u when she finishes k ,,,,jus reached home go bathe first sis using net tell u finishes k,positive
190,spam,Are you unique enough  Find out from th August  www areyouunique co uk,,,,unique enough find th august www areyouunique co uk,positive
191,ham,I m sorry  I ve joined the league of people that dont keep in touch  You mean a great deal to me  You have been a friend at all times even at great personal cost  Do have a great week  ,,,,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,positive
192,ham,Hi   finally i completed the course  ,,,,hi finally completed course,positive
193,ham,It will stop on itself  I however suggest she stays with someone that will be able to give ors for every stool ,,,,stop however suggest stays someone able give ors every stool,negative
194,ham,How are you doing  Hope you ve settled in for the new school year  Just wishin you a gr day,,,,hope settled new school year wishin gr day,positive
195,ham,Gud mrng dear hav a nice day,,,,gud mrng dear hav nice day,positive
196,ham,Did u got that persons story,,,,u got persons story,positive
197,ham,is your hamster dead  Hey so tmr i meet you at pm orchard mrt  ,,,,hamster dead hey tmr meet pm orchard mrt,negative
198,ham,Hi its Kate how is your evening  I hope i can see you tomorrow for a bit but i have to bloody babyjontet  Txt back if u can     xxx,,,,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,positive
199,ham,Found it  ENC   lt  gt    where you at ,,,,found enc lt gt,positive
200,ham,I sent you   lt  gt   bucks,,,,sent lt gt bucks,positive
201,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,,hello darlin ive finished college txt u finish u love kate xxx,positive
202,ham,Your account has been refilled successfully by INR   lt DECIMAL gt    Your KeralaCircle prepaid account balance is Rs   lt DECIMAL gt    Your Transaction ID is KR  lt  gt   ,,,,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,positive
203,ham,Goodmorning sleeping ga ,,,,goodmorning sleeping ga,positive
204,ham,U call me alter at  ok ,,,,u call alter ok,positive
205,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar ,,,,ìï say like dat dun buy ericsson oso cannot oredi lar,positive
206,ham,As I entered my cabin my PA said    Happy B day Boss     I felt special  She askd me  lunch  After lunch she invited me to her apartment  We went there ,,,,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,positive
207,ham,Aight yo  dats straight dogg,,,,aight yo dats straight dogg,positive
208,ham,You please give us connection today itself before   lt DECIMAL gt   or refund the bill,,,,please give us connection today lt decimal gt refund bill,positive
209,ham,Both    i shoot big loads so get ready ,,,,shoot big loads get ready,positive
210,ham,What s up bruv  hope you had a great break  Do have a rewarding semester ,,,,bruv hope great break rewarding semester,positive
211,ham,Home so we can always chat,,,,home always chat,positive
212,ham,K  k  good  study well ,,,,k k good study well,positive
213,ham,Yup  How Ì_ noe leh ,,,,yup ì_ noe leh,positive
214,ham,Sounds great  Are you home now ,,,,sounds great home,positive
215,ham,Finally the match heading towards draw as your prediction ,,,,finally match heading towards draw prediction,positive
216,ham,Tired  I haven t slept well the past few nights ,,,,tired slept well past nights,negative
217,ham,Easy ah sen got selected means its good ,,,,easy ah sen got selected means good,positive
218,ham,I have to take exam with march ,,,,take exam march,positive
219,ham,Yeah you should  I think you can use your gt atm now to register  Not sure but if there s anyway i can help let me know  But when you do be sure you are ready ,,,,yeah think use gt atm register sure anyway help let know sure ready,positive
220,ham,Ok no prob  Take ur time ,,,,ok prob take ur time,positive
221,ham,There is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop ,,,,os called ubandu run without installing hard disk use os copy important files system give repair shop,positive
222,ham,Sorry  I ll call later,,,,sorry call later,negative
